Parameter,Mean_Abs_Change,Plotted_Bar_Height,Category
Bk8,24.0,24.0,Class I
K1,12.0,12.0,Class I
k2,12.0,12.0,Class I
K2,12.0,12.0,Class I
k3,6.059027777777775,6.059027777777775,Class I
d1,6.027777777777775,6.027777777777775,Class I
K9,6.0,6.0,Class I
k4,6.0,6.0,Class I
K3,6.0,6.0,Class I
K7,6.0,6.0,Class I
v1,6.0,6.0,Class I
K8,6.0,6.0,Class I
K6,6.0,6.0,Class I
de2,13.4875,13.4875,Class II
Bm8,3.070723684210525,3.070723684210525,Class II
p1,3.0657894736842,3.0657894736842,Class II
d3L,3.0657894736842,3.0657894736842,Class II
d3D,3.026315789473675,3.026315789473675,Class II
K10,3.01315789473685,3.01315789473685,Class II
p2,2.947368421052625,2.947368421052625,Class II
k1L,2.881578947368425,2.881578947368425,Class II
d2D,1.8690476190476,1.8690476190476,Class II
Ck9,0.23611111111110006,0.23611111111110006,Class II
Bp4,0.0,0.0,Class III
Ak7,0.0,0.0,Class III
Am7,0.0,0.0,Class III
Ap3,0.0,0.0,Class III
K5,0.0,0.0,Class III
Gkp,0.0,0.0,Class III
d5D,0.0,0.0,Class III
d2L,0.0,0.0,Class III
d5L,0.0,0.0,Class III
K4,0.0,0.0,Class III
K14,0.0,0.0,Class III
Cp5,0.0,0.0,Class III
Gp6,0.0,0.0,Class III
K11,0.0,0.0,Class III
K12,0.0,0.0,Class III
Cm9,0.0,0.0,Class III
dg3,0.0,0.0,Class III
dg2,0.0,0.0,Class III
dg1,0.0,0.0,Class III
de5,0.0,0.0,Class III
de4,0.0,0.0,Class III
de3,0.0,0.0,Class III
de1,0.0,0.0,Class III
g1,0.0,0.0,Class III
g2,0.0,0.0,Class III
k1D,0.0,0.0,Class III
dp6,0.0,0.0,Class III
k5,0.0,0.0,Class III
kmcc,0.0,0.0,Class III
kmpac,0.0,0.0,Class III
dg4,0.0,0.0,Class III
dg5,0.0,0.0,Class III
p1L,0.0,0.0,Class III
kmpbc,0.0,0.0,Class III
p4,0.0,0.0,Class III
p3,0.0,0.0,Class III
q1a,0.0,0.0,Class III
q1b,0.0,0.0,Class III
q2,0.0,0.0,Class III
p5,0.0,0.0,Class III
q3a,0.0,0.0,Class III
q3b,0.0,0.0,Class III
q4a,0.0,0.0,Class III
q4b,0.0,0.0,Class III
v2,0.0,0.0,Class III
v3,0.0,0.0,Class III
v4,0.0,0.0,Class III
v5,0.0,0.0,Class III
