Parameter,Mean_Abs_Change,Plotted_Bar_Height,Category
Ck9,27.741071428571423,27.741071428571423,Class I
Bm8,27.741071428571423,27.741071428571423,Class I
Bk8,27.741071428571423,27.741071428571423,Class I
K8,27.741071428571423,27.741071428571423,Class I
K10,27.741071428571423,27.741071428571423,Class I
K1,27.741071428571423,27.741071428571423,Class I
Cm9,27.741071428571423,27.741071428571423,Class I
p2,27.741071428571423,27.741071428571423,Class I
p4,27.741071428571423,27.741071428571423,Class I
v2,27.741071428571423,27.741071428571423,Class I
p1,27.741071428571423,27.741071428571423,Class I
K5,27.741071428571423,27.741071428571423,Class I
K4,27.741071428571423,27.741071428571423,Class I
K3,27.741071428571423,27.741071428571423,Class I
K2,27.741071428571423,27.741071428571423,Class I
d3L,27.741071428571423,27.741071428571423,Class I
d2L,27.741071428571423,27.741071428571423,Class I
d1,27.741071428571423,27.741071428571423,Class I
K9,27.741071428571423,27.741071428571423,Class I
k3,27.741071428571423,27.741071428571423,Class I
k4,27.741071428571423,27.741071428571423,Class I
k2,27.741071428571423,27.741071428571423,Class I
k1L,27.741071428571423,27.741071428571423,Class I
v4,27.741071428571423,27.741071428571423,Class I
v1,27.741071428571423,27.741071428571423,Class I
K7,7.491071428571425,7.491071428571425,Class I
K6,7.491071428571425,7.491071428571425,Class I
de2,13.408928571428577,13.408928571428577,Class II
kmcc,4.1855158730158255,4.1855158730158255,Class II
Cp5,2.0223214285714253,2.0223214285714253,Class II
de4,1.9613095238095255,1.9613095238095255,Class II
Ak7,1.8660714285714253,1.8660714285714253,Class II
kmpbc,0.9910714285714253,0.9910714285714253,Class II
v3,0.7098214285714253,0.7098214285714253,Class II
p3,0.6473214285714253,0.6473214285714253,Class II
p1L,0.48214285714285054,0.48214285714285054,Class II
Bp4,0.2589285714285756,0.2589285714285756,Class II
de1,0.0669642857142998,0.0669642857142998,Class II
Am7,0.0357142857142998,0.0357142857142998,Class III
q1b,0.0357142857142998,0.0357142857142998,Class III
de3,0.0357142857142998,0.0357142857142998,Class III
kmpac,0.0357142857142998,0.0357142857142998,Class III
Ap3,0.0,0.0,Class III
d2D,0.0,0.0,Class III
dg2,0.0,0.0,Class III
dg1,0.0,0.0,Class III
de5,0.0,0.0,Class III
K12,0.0,0.0,Class III
K11,0.0,0.0,Class III
Gkp,0.0,0.0,Class III
Gp6,0.0,0.0,Class III
K14,0.0,0.0,Class III
d3D,0.0,0.0,Class III
d5D,0.0,0.0,Class III
d5L,0.0,0.0,Class III
dg3,0.0,0.0,Class III
k5,0.0,0.0,Class III
dg4,0.0,0.0,Class III
dp6,0.0,0.0,Class III
g1,0.0,0.0,Class III
g2,0.0,0.0,Class III
k1D,0.0,0.0,Class III
dg5,0.0,0.0,Class III
q3a,0.0,0.0,Class III
q2,0.0,0.0,Class III
q1a,0.0,0.0,Class III
p5,0.0,0.0,Class III
q4b,0.0,0.0,Class III
q4a,0.0,0.0,Class III
q3b,0.0,0.0,Class III
v5,0.0,0.0,Class III
