Parameter_Value,CLm,P97m,P51m,ELm,Parameter,Source CSV,CLm_delta,P97m_delta,P51m_delta,ELm_delta,FoldChange
0.1142163,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.1015256
0.12563793,24,24,24.11111111,24,Ak7,period_data_Ak7.csv,0,0,0.111111111,0,0.11167816
0.13820172,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.122845973
0.15202189,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.135130569
0.16722408,24,24,24,24.11111111,Ak7,period_data_Ak7.csv,0,0,0,0.111111111,0.148643627
0.18394649,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.163507991
0.20234114,24.11111111,24.11111111,24.11111111,24,Ak7,period_data_Ak7.csv,0.111111111,0.111111111,0.111111111,0,0.179858791
0.22257525,24,23.88888889,23.88888889,24,Ak7,period_data_Ak7.csv,0,-0.111111111,-0.111111111,0,0.197844667
0.24483278,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.217629138
0.26931606,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.239392053
0.29624766,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.263331253
0.32587243,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.289664382
0.35845967,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.318630818
0.39430564,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.350493902
0.4337362,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.385543289
0.47710982,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.424097618
0.5248208,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.466507378
0.57730288,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.513158116
0.63503317,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.564473929
0.69853649,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.620921324
0.76839014,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.683013458
0.84522915,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.7513148
0.92975207,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.826446284
1.02272727,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,0.909090907
1.125,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1
1.2375,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.1
1.36125,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.21
1.497375,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.331
1.6471125,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.4641
1.81182375,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.61051
1.99300613,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.771561004
2.19230674,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,1.948717102
2.41153741,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,2.143588809
2.65269115,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,2.357947689
2.91796027,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,2.593742462
3.20975629,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,2.853116702
3.53073192,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,3.138428373
3.88380512,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,3.452271218
4.27218563,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,3.797498338
4.69940419,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,4.177248169
5.16934461,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,4.594972987
5.68627907,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,5.054470284
6.25490698,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,5.559917316
6.88039768,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,6.115909049
7.56843744,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,6.727499947
8.32528119,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,7.400249947
9.15780931,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,8.140274942
10.07359024,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,8.954302436
11.08094926,24,24,24,24,Ak7,period_data_Ak7.csv,0,0,0,0,9.849732676
0.05586954,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.101525604
0.06145649,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.111678157
0.06760214,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.122845975
0.07436235,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.135130565
0.08179859,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.148643631
0.08997845,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.163507996
0.09897629,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.179858786
0.10887392,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.197844667
0.11976131,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.21762913
0.13173744,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.239392041
0.14491119,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.263331256
0.15940231,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.289664383
0.17534254,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.31863082
0.19287679,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.350493894
0.21216447,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.385543285
0.23338092,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.424097619
0.25671901,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.466507378
0.28239091,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.513158114
0.31063,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.564473923
0.341693,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.620921316
0.3758623,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.683013447
0.41344853,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.751314792
0.45479339,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.826446284
0.50027273,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,0.909090914
0.5503,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1
0.60533,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.1
0.665863,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.21
0.7324493,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.331
0.80569423,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.4641
0.88626365,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.610509995
0.97489002,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.771561003
1.07237902,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,1.9487171
1.17961692,24,24,24,24,Am7,period_data_Am7.csv,0,0,0,0,2.143588806
