Parameter_Value,CLm,P97m,P51m,ELm,Parameter,Source CSV,CLm_delta,P97m_delta,P51m_delta,ELm_delta,FoldChange
0.1142163,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.1015256
0.12563793,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.11167816
0.13820172,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.122845973
0.15202189,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.135130569
0.16722408,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.148643627
0.18394649,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.163507991
0.20234114,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.179858791
0.22257525,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.197844667
0.24483278,27.71428571,27.75,27.875,27.75,Ak7,period_data_Ak7.csv,0,0,0.125,0,0.217629138
0.26931606,27.71428571,27.75,27.875,27.875,Ak7,period_data_Ak7.csv,0,0,0.125,0.125,0.239392053
0.29624766,27.71428571,27.75,27.75,27.875,Ak7,period_data_Ak7.csv,0,0,0,0.125,0.263331253
0.32587243,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.289664382
0.35845967,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.318630818
0.39430564,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.350493902
0.4337362,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.385543289
0.47710982,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.424097618
0.5248208,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.466507378
0.57730288,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.513158116
0.63503317,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.564473929
0.69853649,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.620921324
0.76839014,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.683013458
0.84522915,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.7513148
0.92975207,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.826446284
1.02272727,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,0.909090907
1.125,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1
1.2375,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1.1
1.36125,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1.21
1.497375,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1.331
1.6471125,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1.4641
1.81182375,27.85714286,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0.142857143,0,0,0,1.61051
1.99300613,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1.771561004
2.19230674,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,1.948717102
2.41153741,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,2.143588809
2.65269115,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,2.357947689
2.91796027,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,2.593742462
3.20975629,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,2.853116702
3.53073192,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,3.138428373
3.88380512,27.71428571,27.75,27.875,27.875,Ak7,period_data_Ak7.csv,0,0,0.125,0.125,3.452271218
4.27218563,27.85714286,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0.142857143,0,0,0,3.797498338
4.69940419,27.71428571,27.75,27.75,27.875,Ak7,period_data_Ak7.csv,0,0,0,0.125,4.177248169
5.16934461,27.85714286,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0.142857143,0,0,0,4.594972987
5.68627907,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,5.054470284
6.25490698,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,5.559917316
6.88039768,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,6.115909049
7.56843744,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,6.727499947
8.32528119,27.85714286,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0.142857143,0,0,0,7.400249947
9.15780931,27.71428571,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0,0,0,0,8.140274942
10.07359024,27.85714286,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0.142857143,0,0,0,8.954302436
11.08094926,27.85714286,27.75,27.75,27.75,Ak7,period_data_Ak7.csv,0.142857143,0,0,0,9.849732676
0.05586954,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.101525604
0.06145649,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.111678157
0.06760214,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.122845975
0.07436235,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.135130565
0.08179859,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.148643631
0.08997845,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.163507996
0.09897629,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.179858786
0.10887392,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.197844667
0.11976131,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.21762913
0.13173744,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.239392041
0.14491119,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.263331256
0.15940231,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.289664383
0.17534254,27.71428571,27.75,27.75,27.875,Am7,period_data_Am7.csv,0,0,0,0.125,0.31863082
0.19287679,27.71428571,27.75,27.875,27.875,Am7,period_data_Am7.csv,0,0,0.125,0.125,0.350493894
0.21216447,27.71428571,27.75,27.875,27.75,Am7,period_data_Am7.csv,0,0,0.125,0,0.385543285
0.23338092,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.424097619
0.25671901,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.466507378
0.28239091,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.513158114
0.31063,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.564473923
0.341693,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.620921316
0.3758623,27.85714286,27.75,27.75,27.75,Am7,period_data_Am7.csv,0.142857143,0,0,0,0.683013447
0.41344853,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.751314792
0.45479339,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.826446284
0.50027273,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,0.909090914
0.5503,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,1
0.60533,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,1.1
0.665863,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,1.21
0.7324493,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,1.331
0.80569423,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,1.4641
0.88626365,27.71428571,27.75,27.75,27.75,Am7,period_data_Am7.csv,0,0,0,0,1.610509995
