Parameter,Component,Slope,MeanSlope,Category,CV
Ak7,CLm,-0.0006898195741867522,-0.0005289756208266114,Less Sensitive,0.0006613131724144148
Ak7,P97m,-6.170841694943977e-06,-0.0005289756208266114,Less Sensitive,0.0009450191814383758
Ak7,P51m,-0.0007193827650586084,-0.0005289756208266114,Less Sensitive,0.0011533549463890774
Ak7,ELm,-0.0007005293023661409,-0.0005289756208266114,Less Sensitive,0.0006613131724144148
Am7,CLm,-0.0004939008454086869,0.00015698610236616412,Less Sensitive,0.0009450191814383758
Am7,P97m,0.00038271633304142713,0.00015698610236616412,Less Sensitive,0.0009253572973026347
Am7,P51m,0.0007391289218319163,0.00015698610236616412,Less Sensitive,0.0009253572973026348
Am7,ELm,0.0,0.00015698610236616412,Less Sensitive,0.0
Ap3,CLm,0.0,-0.06399843072830497,Less Sensitive,0.0
Ap3,P97m,-0.000700529296271153,-0.06399843072830497,Less Sensitive,0.0006613131724144148
Ap3,P51m,-0.000700529296271153,-0.06399843072830497,Less Sensitive,0.0006613131724144148
Ap3,ELm,-0.25459266432067756,-0.06399843072830497,Less Sensitive,0.06466757533027478
Bk8,CLm,0.0,0.0,Less Sensitive,0.0
Bk8,P97m,0.0,0.0,Less Sensitive,0.0
Bk8,P51m,0.0,0.0,Less Sensitive,0.0
Bk8,ELm,0.0,0.0,Less Sensitive,0.0
Bm8,CLm,0.0021004726863470624,0.2805390604193206,Moderately Sensitive,0.0014669209264719237
Bm8,P97m,0.004298022016628246,0.2805390604193206,Moderately Sensitive,0.0018021828531562159
Bm8,P51m,0.0061688654508846915,0.2805390604193206,Moderately Sensitive,0.0019466437941401936
Bm8,ELm,1.1095888815234223,0.2805390604193206,Moderately Sensitive,0.27833025983223586
Bp4,CLm,0.0,-0.439043894027758,Moderately Sensitive,0.0
Bp4,P97m,0.0008249785633504754,-0.439043894027758,Moderately Sensitive,0.0006613131724144151
Bp4,P51m,-0.7768723196302479,-0.439043894027758,Moderately Sensitive,0.11733963196745055
Bp4,ELm,-0.9801282350441346,-0.439043894027758,Moderately Sensitive,0.23427674834154097
Ck9,CLm,0.0,0.0,Less Sensitive,0.0
Ck9,P97m,0.0,0.0,Less Sensitive,0.0
Ck9,P51m,0.0,0.0,Less Sensitive,0.0
Ck9,ELm,0.0,0.0,Less Sensitive,0.0
Cm9,CLm,-0.0045523155413831964,0.12501179776982152,Less Sensitive,0.0016357393981629384
Cm9,P97m,-0.0032562042288260696,0.12501179776982152,Less Sensitive,0.0014152521036281975
Cm9,P51m,-0.0023387574838383057,0.12501179776982152,Less Sensitive,0.0035486995214857515
Cm9,ELm,0.5101944683333336,0.12501179776982152,Less Sensitive,0.13728757894738872
Cp5,CLm,0.0007412277277871701,-0.014579813244644045,Less Sensitive,0.0015910575263973353
Cp5,P97m,-0.008825517384391877,-0.014579813244644045,Less Sensitive,0.001592260594458191
Cp5,P51m,-0.007020949648908744,-0.014579813244644045,Less Sensitive,0.002615936941619213
Cp5,ELm,-0.04321401367306273,-0.014579813244644045,Less Sensitive,0.08873336244788786
Gkp,CLm,0.0,0.0,Less Sensitive,0.0
Gkp,P97m,0.0,0.0,Less Sensitive,0.0
Gkp,P51m,0.0,0.0,Less Sensitive,0.0
Gkp,ELm,0.0,0.0,Less Sensitive,0.0
Gp6,CLm,0.0,0.0,Less Sensitive,0.0
Gp6,P97m,0.0,0.0,Less Sensitive,0.0
Gp6,P51m,0.0,0.0,Less Sensitive,0.0
Gp6,ELm,0.0,0.0,Less Sensitive,0.0
K1,CLm,0.004601203594473355,-0.3885169023323186,Moderately Sensitive,0.004461440407903123
K1,P97m,-1.5648889585305006,-0.3885169023323186,Moderately Sensitive,0.21111948214198303
K1,P51m,0.000766867265745559,-0.3885169023323186,Moderately Sensitive,0.0007439685407588479
K1,ELm,0.005453278341007244,-0.3885169023323186,Moderately Sensitive,0.005287009070047881
K10,CLm,0.0,0.0,Less Sensitive,0.0
K10,P97m,0.0,0.0,Less Sensitive,0.0
K10,P51m,0.0,0.0,Less Sensitive,0.0
K10,ELm,0.0,0.0,Less Sensitive,0.0
K11,CLm,0.0,0.0,Less Sensitive,0.0
K11,P97m,0.0,0.0,Less Sensitive,0.0
K11,P51m,0.0,0.0,Less Sensitive,0.0
K11,ELm,0.0,0.0,Less Sensitive,0.0
K12,CLm,0.0,0.0,Less Sensitive,0.0
K12,P97m,0.0,0.0,Less Sensitive,0.0
K12,P51m,0.0,0.0,Less Sensitive,0.0
K12,ELm,0.0,0.0,Less Sensitive,0.0
K14,CLm,0.0,0.0,Less Sensitive,0.0
K14,P97m,0.0,0.0,Less Sensitive,0.0
K14,P51m,0.0,0.0,Less Sensitive,0.0
K14,ELm,0.0,0.0,Less Sensitive,0.0
K2,CLm,0.0,0.039506200587333694,Less Sensitive,0.0
K2,P97m,-0.00043962458383183623,0.039506200587333694,Less Sensitive,0.0006613131724144151
K2,P51m,0.15846442693316662,0.039506200587333694,Less Sensitive,0.10525315584913968
K2,ELm,0.0,0.039506200587333694,Less Sensitive,0.0
K3,CLm,0.007522609799606465,0.16694332582671367,Less Sensitive,0.006722349854086584
K3,P97m,0.6922864073601311,0.16694332582671367,Less Sensitive,0.20899482261462907
K3,P51m,-0.03675133932530857,0.16694332582671367,Less Sensitive,0.036397695508762595
K3,ELm,0.0047156254724256405,0.16694332582671367,Less Sensitive,0.003275809013087762
K4,CLm,-0.9111537571485836,-0.7982770288165051,Highly Sensitive,0.1679450224935504
K4,P97m,-0.7979952824259869,-0.7982770288165051,Highly Sensitive,0.16054387730974615
K4,P51m,-0.9056364231035056,-0.7982770288165051,Highly Sensitive,0.16609096681214316
K4,ELm,-0.5783226525879439,-0.7982770288165051,Highly Sensitive,0.18764354145595627
K5,CLm,-0.7664116127721019,-0.6939209424384197,Highly Sensitive,0.27746811557210915
K5,P97m,-0.5598095549998661,-0.6939209424384197,Highly Sensitive,0.23056427209276784
K5,P51m,-0.7449734555223128,-0.6939209424384197,Highly Sensitive,0.27065211456736255
K5,ELm,-0.7044891464593982,-0.6939209424384197,Highly Sensitive,0.26146949686211374
K6,CLm,0.0,0.0,Less Sensitive,0.0
K6,P97m,0.0,0.0,Less Sensitive,0.0
K6,P51m,0.0,0.0,Less Sensitive,0.0
K6,ELm,0.0,0.0,Less Sensitive,0.0
K7,CLm,0.0,0.0011673008433878865,Less Sensitive,0.0
K7,P97m,0.0026278538299094544,0.0011673008433878865,Less Sensitive,0.0006613131724144151
K7,P51m,0.002041349543642092,0.0011673008433878865,Less Sensitive,0.0006613131724144151
K7,ELm,0.0,0.0011673008433878865,Less Sensitive,0.0
K8,CLm,0.0,0.0,Less Sensitive,0.0
K8,P97m,0.0,0.0,Less Sensitive,0.0
K8,P51m,0.0,0.0,Less Sensitive,0.0
K8,ELm,0.0,0.0,Less Sensitive,0.0
K9,CLm,0.0,-0.0001578189335380396,Less Sensitive,0.0
K9,P97m,-0.0006312757341521584,-0.0001578189335380396,Less Sensitive,0.0006613131724144148
K9,P51m,0.0,-0.0001578189335380396,Less Sensitive,0.0
K9,ELm,0.0,-0.0001578189335380396,Less Sensitive,0.0
d1,CLm,-1.5383719752978267,-0.7721524685447444,Highly Sensitive,0.3053401706693822
d1,P97m,-0.0770358915705116,-0.7721524685447444,Highly Sensitive,0.21777701283710213
d1,P51m,-1.5730819082666825,-0.7721524685447444,Highly Sensitive,0.3051941862626887
d1,ELm,0.09987990095604313,-0.7721524685447444,Highly Sensitive,0.05092193860559424
d2D,CLm,0.1765645407816845,-0.07986128415574875,Less Sensitive,0.14073147216680132
d2D,P97m,-0.8901225933222369,-0.07986128415574875,Less Sensitive,0.24571381121158162
d2D,P51m,0.1838134538967202,-0.07986128415574875,Less Sensitive,0.14309382276454377
d2D,ELm,0.21029946202083719,-0.07986128415574875,Less Sensitive,0.14531446862673073
d2L,CLm,-0.5452053008759509,-0.058395314826290824,Less Sensitive,0.17075436752454717
d2L,P97m,0.141499902147801,-0.058395314826290824,Less Sensitive,0.08002689979825153
d2L,P51m,0.13450582115923573,-0.058395314826290824,Less Sensitive,0.07554641944164689
d2L,ELm,0.0356183182637508,-0.058395314826290824,Less Sensitive,0.02081899917127524
d3D,CLm,-0.0007166952018756029,0.2761670125658699,Moderately Sensitive,0.0006613131724144148
d3D,P97m,-0.0006768608078567494,0.2761670125658699,Moderately Sensitive,0.0006613131724144148
d3D,P51m,0.0,0.2761670125658699,Moderately Sensitive,0.0
d3D,ELm,1.106061606273212,0.2761670125658699,Moderately Sensitive,0.2772828250060531
d3L,CLm,0.0,0.29838685385778535,Moderately Sensitive,0.0
d3L,P97m,0.0,0.29838685385778535,Moderately Sensitive,0.0
d3L,P51m,1.1935474154311414,0.29838685385778535,Moderately Sensitive,0.2919849646872905
d3L,ELm,0.0,0.29838685385778535,Moderately Sensitive,0.0
