Parameter,Component,Slope,MeanSlope,Category,CV
Ak7,CLm,0.010174268140572892,0.0022259456545361627,Less Sensitive,0.001706143101404059
Ak7,P97m,0.0,0.0022259456545361627,Less Sensitive,0.0
Ak7,P51m,-0.0010274964552932785,0.0022259456545361627,Less Sensitive,0.0010908075976903983
Ak7,ELm,-0.00024298906713496402,0.0022259456545361627,Less Sensitive,0.001245675584609994
Am7,CLm,-0.004283420299212968,-0.0014109874679728554,Less Sensitive,0.002236779777523995
Am7,P97m,0.0,-0.0014109874679728554,Less Sensitive,0.0
Am7,P51m,-0.0014249275991013877,-0.0014109874679728554,Less Sensitive,0.0010908075976903983
Am7,ELm,6.43980264229347e-05,-0.0014109874679728554,Less Sensitive,0.001245675584609994
Ap3,CLm,-1.7538331081751454e-31,-4.3845827704378635e-32,Less Sensitive,3.885574088551156e-16
Ap3,P97m,0.0,-4.3845827704378635e-32,Less Sensitive,0.0
Ap3,P51m,0.0,-4.3845827704378635e-32,Less Sensitive,0.0
Ap3,ELm,0.0,-4.3845827704378635e-32,Less Sensitive,0.0
Bk8,CLm,-0.17884875464076688,-0.17444097838856762,Less Sensitive,0.022903264241436665
Bk8,P97m,-0.174238971579583,-0.17444097838856762,Less Sensitive,0.022536965775963903
Bk8,P51m,-0.17451696242118403,-0.17444097838856762,Less Sensitive,0.02242842599909002
Bk8,ELm,-0.17015922491273652,-0.17444097838856762,Less Sensitive,0.022048809942861312
Bm8,CLm,0.04618940761651776,0.04363039790738607,Less Sensitive,0.027855917474155452
Bm8,P97m,0.04269835915841764,0.04363039790738607,Less Sensitive,0.02771215478545375
Bm8,P51m,0.04330741586970116,0.04363039790738607,Less Sensitive,0.027640309903851943
Bm8,ELm,0.04232640898490773,0.04363039790738607,Less Sensitive,0.027198353977397307
Bp4,CLm,-0.5440371088447825,-0.526658339402412,Highly Sensitive,0.027875495208218172
Bp4,P97m,-0.4940677766302895,-0.526658339402412,Highly Sensitive,0.026981632363216213
Bp4,P51m,-0.5368286660452106,-0.526658339402412,Highly Sensitive,0.02801349992837473
Bp4,ELm,-0.5316998060893654,-0.526658339402412,Highly Sensitive,0.027598187098815088
Ck9,CLm,3.984634025884405,3.9573547128727893,Highly Sensitive,0.2365553834221088
Ck9,P97m,4.132750598208928,3.9573547128727893,Highly Sensitive,0.22721911604850872
Ck9,P51m,3.865872827582701,3.9573547128727893,Highly Sensitive,0.247426780017715
Ck9,ELm,3.846161399815124,3.9573547128727893,Highly Sensitive,0.2463980792314425
Cm9,CLm,-1.4251835093952665,-1.4187950420665594,Highly Sensitive,0.23198346406705642
Cm9,P97m,-1.4158959448452901,-1.4187950420665594,Highly Sensitive,0.2317391041893278
Cm9,P51m,-1.4139411395592416,-1.4187950420665594,Highly Sensitive,0.23081080334861306
Cm9,ELm,-1.420159574466439,-1.4187950420665594,Highly Sensitive,0.23132400429962752
Cp5,CLm,9.069313279528737,9.040515645938422,Highly Sensitive,0.22921455547785063
Cp5,P97m,9.010710170955075,9.040515645938422,Highly Sensitive,0.22806970025217085
Cp5,P51m,9.045998177921286,9.040515645938422,Highly Sensitive,0.22898636933036443
Cp5,ELm,9.03604095534859,9.040515645938422,Highly Sensitive,0.22851716157170474
Gkp,CLm,-1.3640924197105337e-31,-3.410231049276334e-32,Less Sensitive,3.885574088551156e-16
Gkp,P97m,0.0,-3.410231049276334e-32,Less Sensitive,0.0
Gkp,P51m,0.0,-3.410231049276334e-32,Less Sensitive,0.0
Gkp,ELm,0.0,-3.410231049276334e-32,Less Sensitive,0.0
Gp6,CLm,2.3385463995749897e-31,5.846365998937474e-32,Less Sensitive,3.885574088551156e-16
Gp6,P97m,0.0,5.846365998937474e-32,Less Sensitive,0.0
Gp6,P51m,0.0,5.846365998937474e-32,Less Sensitive,0.0
Gp6,ELm,0.0,5.846365998937474e-32,Less Sensitive,0.0
K1,CLm,3.0598595010685052,3.064423603780889,Highly Sensitive,0.11822731546101037
K1,P97m,3.0750681657256944,3.064423603780889,Highly Sensitive,0.118769264608226
K1,P51m,3.0596753451751373,3.064423603780889,Highly Sensitive,0.11812814990177158
K1,ELm,3.0630914031542193,3.064423603780889,Highly Sensitive,0.11840038790678037
K10,CLm,0.9639385864521124,0.9616618076793959,Highly Sensitive,0.10140561945690053
K10,P97m,0.9647523055560012,0.9616618076793959,Highly Sensitive,0.10128350645180316
K10,P51m,0.9664242412414085,0.9616618076793959,Highly Sensitive,0.10148762716554363
K10,ELm,0.9515320974680614,0.9616618076793959,Highly Sensitive,0.09942123753467834
K11,CLm,-9.743517293406699e-32,-2.4358793233516746e-32,Less Sensitive,3.885574088551156e-16
K11,P97m,0.0,-2.4358793233516746e-32,Less Sensitive,0.0
K11,P51m,0.0,-2.4358793233516746e-32,Less Sensitive,0.0
K11,ELm,0.0,-2.4358793233516746e-32,Less Sensitive,0.0
K12,CLm,-7.79481382684128e-32,-1.94870345671032e-32,Less Sensitive,3.885574088551156e-16
K12,P97m,0.0,-1.94870345671032e-32,Less Sensitive,0.0
K12,P51m,0.0,-1.94870345671032e-32,Less Sensitive,0.0
K12,ELm,0.0,-1.94870345671032e-32,Less Sensitive,0.0
K14,CLm,1.948703456875666e-31,4.871758642189165e-32,Less Sensitive,3.885574088551156e-16
K14,P97m,0.0,4.871758642189165e-32,Less Sensitive,0.0
K14,P51m,0.0,4.871758642189165e-32,Less Sensitive,0.0
K14,ELm,0.0,4.871758642189165e-32,Less Sensitive,0.0
K2,CLm,-0.36028444212875194,-0.3575511063133305,Moderately Sensitive,0.08941764562213099
K2,P97m,-0.3538092631845318,-0.3575511063133305,Moderately Sensitive,0.08814071566025962
K2,P51m,-0.35837564669579575,-0.3575511063133305,Moderately Sensitive,0.08916333344917056
K2,ELm,-0.3577350732442423,-0.3575511063133305,Moderately Sensitive,0.08911421372869512
K3,CLm,-0.3490770743072875,-0.3428830831100541,Moderately Sensitive,0.0790449442142072
K3,P97m,-0.3415491366147836,-0.3428830831100541,Moderately Sensitive,0.07940031991574835
K3,P51m,-0.3423207810686811,-0.3428830831100541,Moderately Sensitive,0.08010336068971668
K3,ELm,-0.3385853404494642,-0.3428830831100541,Moderately Sensitive,0.07918461879301053
K4,CLm,-0.7163501536008688,-0.7130085094007236,Highly Sensitive,0.10092948822719927
K4,P97m,-0.7123007032775864,-0.7130085094007236,Highly Sensitive,0.100547792834967
K4,P51m,-0.7146151785676279,-0.7130085094007236,Highly Sensitive,0.10089933270045279
K4,ELm,-0.7087680021568112,-0.7130085094007236,Highly Sensitive,0.10076946110599817
K5,CLm,-1.5949295687527774,-2.897443198824677,Highly Sensitive,0.21863703512262192
K5,P97m,-2.0351656141365995,-2.897443198824677,Highly Sensitive,0.21936308317222636
K5,P51m,-3.282946099992089,-2.897443198824677,Highly Sensitive,0.2181376579122966
K5,ELm,-4.676731512417243,-2.897443198824677,Highly Sensitive,0.2154954249890581
K6,CLm,-0.12962201140273727,-0.14251274738027758,Less Sensitive,0.015104126555588961
K6,P97m,-0.1557461487468621,-0.14251274738027758,Less Sensitive,0.014116240226206606
K6,P51m,-0.16389494250331083,-0.14251274738027758,Less Sensitive,0.014055653442805287
K6,ELm,-0.1207878868682001,-0.14251274738027758,Less Sensitive,0.014744983502726
K7,CLm,0.11047000590592873,0.11673172020437582,Less Sensitive,0.014384229563312118
K7,P97m,0.11829588418124887,0.11673172020437582,Less Sensitive,0.014619319802656744
K7,P51m,0.11945958835537046,0.11673172020437582,Less Sensitive,0.01449456597174366
K7,ELm,0.11870140237495526,0.11673172020437582,Less Sensitive,0.014696229013213472
K8,CLm,-0.5034593889743529,-0.5288691265161042,Highly Sensitive,0.045673595968621604
K8,P97m,-0.5519731128134787,-0.5288691265161042,Highly Sensitive,0.04680249806899739
K8,P51m,-0.630794050239223,-0.5288691265161042,Highly Sensitive,0.04649437903796113
K8,ELm,-0.4292499540373619,-0.5288691265161042,Highly Sensitive,0.04681880575660361
K9,CLm,0.29588810354756095,0.28656542324221207,Moderately Sensitive,0.05361228611215639
K9,P97m,0.29425034993158383,0.28656542324221207,Moderately Sensitive,0.05327319605276951
K9,P51m,0.29106433532410647,0.28656542324221207,Moderately Sensitive,0.05321738793815608
K9,ELm,0.2650589041655971,0.28656542324221207,Moderately Sensitive,0.04850935218261375
d1,CLm,-5.609385153361318,-5.595178857630077,Highly Sensitive,0.24302215269341226
d1,P97m,-5.597491913555644,-5.595178857630077,Highly Sensitive,0.24265866990216234
d1,P51m,-5.581400859816009,-5.595178857630077,Highly Sensitive,0.24197036737410832
d1,ELm,-5.592437503787333,-5.595178857630077,Highly Sensitive,0.2423795505527405
d2D,CLm,-2.5333144947786197e-31,-6.333286236946549e-32,Less Sensitive,3.885574088551156e-16
d2D,P97m,0.0,-6.333286236946549e-32,Less Sensitive,0.0
d2D,P51m,0.0,-6.333286236946549e-32,Less Sensitive,0.0
d2D,ELm,0.0,-6.333286236946549e-32,Less Sensitive,0.0
d2L,CLm,0.7081606668269325,0.6915378500582989,Highly Sensitive,0.04300052397409383
d2L,P97m,0.6733859822241824,0.6915378500582989,Highly Sensitive,0.04267525677344145
d2L,P51m,0.6847681031712402,0.6915378500582989,Highly Sensitive,0.0429890984242162
d2L,ELm,0.699836648010841,0.6915378500582989,Highly Sensitive,0.043342077651371096
d3D,CLm,-1.3640924215771329e-31,-3.410231053942832e-32,Less Sensitive,3.885574088551156e-16
d3D,P97m,0.0,-3.410231053942832e-32,Less Sensitive,0.0
d3D,P51m,0.0,-3.410231053942832e-32,Less Sensitive,0.0
d3D,ELm,0.0,-3.410231053942832e-32,Less Sensitive,0.0
d3L,CLm,-1.0217664388732792,-1.028499728858634,Highly Sensitive,0.15845487033642663
d3L,P97m,-1.0390767102353369,-1.028499728858634,Highly Sensitive,0.1594971365173708
d3L,P51m,-1.0184423212421543,-1.028499728858634,Highly Sensitive,0.15820957228980306
d3L,ELm,-1.0347134450837656,-1.028499728858634,Highly Sensitive,0.1589616051898771
d5D,CLm,1.7538331113867943e-31,4.3845827784669857e-32,Less Sensitive,3.885574088551156e-16
d5D,P97m,0.0,4.3845827784669857e-32,Less Sensitive,0.0
d5D,P51m,0.0,4.3845827784669857e-32,Less Sensitive,0.0
d5D,ELm,0.0,4.3845827784669857e-32,Less Sensitive,0.0
d5L,CLm,-1.169222074014061e-31,-2.9230551850351525e-32,Less Sensitive,3.885574088551156e-16
d5L,P97m,0.0,-2.9230551850351525e-32,Less Sensitive,0.0
d5L,P51m,0.0,-2.9230551850351525e-32,Less Sensitive,0.0
d5L,ELm,0.0,-2.9230551850351525e-32,Less Sensitive,0.0
de1,CLm,-0.04552568122767477,-0.03856546470010601,Less Sensitive,0.004659165296331944
de1,P97m,-0.04202187439338261,-0.03856546470010601,Less Sensitive,0.004415344763278303
de1,P51m,-0.033357151589683325,-0.03856546470010601,Less Sensitive,0.0034548738589950125
de1,ELm,-0.033357151589683325,-0.03856546470010601,Less Sensitive,0.0034548738589950125
de2,CLm,-1.3348478449653716,-1.3380959631914022,Highly Sensitive,0.16204831519185192
de2,P97m,-1.341506821297975,-1.3380959631914022,Highly Sensitive,0.1624542891336636
de2,P51m,-1.339478019578659,-1.3380959631914022,Highly Sensitive,0.16226518620001557
de2,ELm,-1.3365511669236032,-1.3380959631914022,Highly Sensitive,0.1619803362683011
de3,CLm,0.00455654757733719,0.0007620886940075638,Less Sensitive,0.0018210992333980854
de3,P97m,0.0,0.0007620886940075638,Less Sensitive,0.0
de3,P51m,-0.003782752776173646,0.0007620886940075638,Less Sensitive,0.0013378785004642829
de3,ELm,0.002274559974866711,0.0007620886940075638,Less Sensitive,0.0009003522469839668
de4,CLm,-0.6721931131013565,-0.6721670122642368,Highly Sensitive,0.06836058613288909
de4,P97m,-0.6739095200818387,-0.6721670122642368,Highly Sensitive,0.06857492518176969
de4,P51m,-0.6750326225839107,-0.6721670122642368,Highly Sensitive,0.06870928093761061
de4,ELm,-0.6675327932898409,-0.6721670122642368,Highly Sensitive,0.06809337645882076
de5,CLm,-3.89744191915469e-32,-9.743604797886725e-33,Less Sensitive,3.885574088551156e-16
de5,P97m,0.0,-9.743604797886725e-33,Less Sensitive,0.0
de5,P51m,0.0,-9.743604797886725e-33,Less Sensitive,0.0
de5,ELm,0.0,-9.743604797886725e-33,Less Sensitive,0.0
dg1,CLm,-7.794813996306441e-32,-1.9487034990766103e-32,Less Sensitive,3.885574088551156e-16
dg1,P97m,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dg1,P51m,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dg1,ELm,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dg2,CLm,5.846110371205152e-32,1.461527592801288e-32,Less Sensitive,3.885574088551156e-16
dg2,P97m,0.0,1.461527592801288e-32,Less Sensitive,0.0
dg2,P51m,0.0,1.461527592801288e-32,Less Sensitive,0.0
dg2,ELm,0.0,1.461527592801288e-32,Less Sensitive,0.0
dg3,CLm,-7.794813996306441e-32,-1.9487034990766103e-32,Less Sensitive,3.885574088551156e-16
dg3,P97m,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dg3,P51m,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dg3,ELm,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dg4,CLm,-7.794813827812291e-32,-1.9487034569530727e-32,Less Sensitive,3.885574088551156e-16
dg4,P97m,0.0,-1.9487034569530727e-32,Less Sensitive,0.0
dg4,P51m,0.0,-1.9487034569530727e-32,Less Sensitive,0.0
dg4,ELm,0.0,-1.9487034569530727e-32,Less Sensitive,0.0
dg5,CLm,1.948703456233005e-32,4.8717586405825126e-33,Less Sensitive,3.885574088551156e-16
dg5,P97m,0.0,4.8717586405825126e-33,Less Sensitive,0.0
dg5,P51m,0.0,4.8717586405825126e-33,Less Sensitive,0.0
dg5,ELm,0.0,4.8717586405825126e-33,Less Sensitive,0.0
dp6,CLm,-7.794813996306441e-32,-1.9487034990766103e-32,Less Sensitive,3.885574088551156e-16
dp6,P97m,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dp6,P51m,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
dp6,ELm,0.0,-1.9487034990766103e-32,Less Sensitive,0.0
g1,CLm,1.948703829404583e-32,4.871759573511457e-33,Less Sensitive,3.885574088551156e-16
g1,P97m,0.0,4.871759573511457e-33,Less Sensitive,0.0
g1,P51m,0.0,4.871759573511457e-33,Less Sensitive,0.0
g1,ELm,0.0,4.871759573511457e-33,Less Sensitive,0.0
g2,CLm,-1.5589627640052457e-31,-3.8974069100131143e-32,Less Sensitive,3.885574088551156e-16
g2,P97m,0.0,-3.8974069100131143e-32,Less Sensitive,0.0
g2,P51m,0.0,-3.8974069100131143e-32,Less Sensitive,0.0
g2,ELm,0.0,-3.8974069100131143e-32,Less Sensitive,0.0
k1D,CLm,-3.8807644518413016e-31,-9.701911129603254e-32,Less Sensitive,3.8847648468286337e-16
k1D,P97m,0.0,-9.701911129603254e-32,Less Sensitive,0.0
k1D,P51m,0.0,-9.701911129603254e-32,Less Sensitive,0.0
k1D,ELm,0.0,-9.701911129603254e-32,Less Sensitive,0.0
k1L,CLm,-4.8695936830088105,-5.2255411814797315,Highly Sensitive,0.22723515824021073
k1L,P97m,-5.520632764124988,-5.2255411814797315,Highly Sensitive,0.22793974041502413
k1L,P51m,-5.017050895729838,-5.2255411814797315,Highly Sensitive,0.23257161210160565
k1L,ELm,-5.494887383055289,-5.2255411814797315,Highly Sensitive,0.22708264199273515
k2,CLm,0.19410091535814578,0.2074247877153373,Moderately Sensitive,0.03164382534374022
k2,P97m,0.2129557771063664,0.2074247877153373,Moderately Sensitive,0.03174213859070323
k2,P51m,0.21512628732778474,0.2074247877153373,Moderately Sensitive,0.03203786810635638
k2,ELm,0.20751617106905232,0.2074247877153373,Moderately Sensitive,0.03246702379033977
k3,CLm,-1.0474201968491137,-1.0336370712757785,Highly Sensitive,0.162577015653981
k3,P97m,-1.0274507717250556,-1.0336370712757785,Highly Sensitive,0.16111436018717235
k3,P51m,-1.0287105677005772,-1.0336370712757785,Highly Sensitive,0.16173758583733588
k3,ELm,-1.0309667488283676,-1.0336370712757785,Highly Sensitive,0.1616487897960312
k4,CLm,-2.0911912121555436,-2.0938659478124326,Highly Sensitive,0.30237019199293136
k4,P97m,-2.098159501556242,-2.0938659478124326,Highly Sensitive,0.302496880969409
k4,P51m,-2.094842682995641,-2.0938659478124326,Highly Sensitive,0.3026613805849974
k4,ELm,-2.0912703945423043,-2.0938659478124326,Highly Sensitive,0.3018857273770986
k5,CLm,1.7538331073526524e-31,4.384582768381631e-32,Less Sensitive,3.885574088551156e-16
k5,P97m,0.0,4.384582768381631e-32,Less Sensitive,0.0
k5,P51m,0.0,4.384582768381631e-32,Less Sensitive,0.0
k5,ELm,0.0,4.384582768381631e-32,Less Sensitive,0.0
kd,CLm,-0.01367376823471623,-0.01545520475529534,Less Sensitive,0.001823783113487078
kd,P97m,-0.017199879824990154,-0.01545520475529534,Less Sensitive,0.0019592921825919165
kd,P51m,-0.015857019112870865,-0.01545520475529534,Less Sensitive,0.002011734283883515
kd,ELm,-0.015090151848604112,-0.01545520475529534,Less Sensitive,0.0019592921825919165
kmcc,CLm,0.02338632721349909,0.01499172012912064,Less Sensitive,0.0027500102684319227
kmcc,P97m,0.01448924103450602,0.01499172012912064,Less Sensitive,0.002666930889274862
kmcc,P51m,0.01132347536252072,0.01499172012912064,Less Sensitive,0.0029095174311495947
kmcc,ELm,0.010767836905956731,0.01499172012912064,Less Sensitive,0.0029095174311495947
kmpac,CLm,-0.0009214653176374685,-0.00023036632940936713,Less Sensitive,0.0007362996056637839
kmpac,P97m,0.0,-0.00023036632940936713,Less Sensitive,0.0
kmpac,P51m,0.0,-0.00023036632940936713,Less Sensitive,0.0
kmpac,ELm,0.0,-0.00023036632940936713,Less Sensitive,0.0
kmpbc,CLm,-0.0021680845921149636,0.00218395869483925,Less Sensitive,0.002236779777523994
kmpbc,P97m,0.0018175167528140088,0.00218395869483925,Less Sensitive,0.0011221860676164667
kmpbc,P51m,0.004014653989018471,0.00218395869483925,Less Sensitive,0.0013003384441207786
kmpbc,ELm,0.005071748629639485,0.00218395869483925,Less Sensitive,0.0014509859460218938
p1,CLm,1.0627327589977884,1.0652636130999968,Highly Sensitive,0.09943579743177414
p1,P97m,1.066666549367465,1.0652636130999968,Highly Sensitive,0.09988971381218897
p1,P51m,1.0688929830461384,1.0652636130999968,Highly Sensitive,0.09998798049126206
p1,ELm,1.0627621609885949,1.0652636130999968,Highly Sensitive,0.09947713470120982
p1L,CLm,0.28298479740747223,0.2840659854544417,Moderately Sensitive,0.026531949482880873
p1L,P97m,0.2886383854820184,0.2840659854544417,Moderately Sensitive,0.027000156898201587
p1L,P51m,0.28253897436228315,0.2840659854544417,Moderately Sensitive,0.02644320242818019
p1L,ELm,0.2821017845659931,0.2840659854544417,Moderately Sensitive,0.026400647462445255
p2,CLm,-4.823101412407395,-4.811506009893529,Highly Sensitive,0.13060595520684234
p2,P97m,-4.80414673979168,-4.811506009893529,Highly Sensitive,0.13036007105224257
p2,P51m,-4.817329220379132,-4.811506009893529,Highly Sensitive,0.13097309465828233
p2,ELm,-4.801446666995912,-4.811506009893529,Highly Sensitive,0.13017282585514098
p3,CLm,0.3942617016685238,0.3965812913859844,Moderately Sensitive,0.03736857591488177
