condition,parameter,param_value,fold_change,mean_area,mean_eccentricity,mean_delta_area,mean_delta_eccentricity,base_param_value
LD,p5,0.053738,0.10152654449272625,1146665.5833333333,0.5492421028599637,10670.833333333334,0.008562105781899624,0.5293
LD,p5,0.059111,0.11167768751180804,1146665.5833333333,0.5509612653958939,10670.833333333334,0.010281268317829781,0.5293
LD,p5,0.065022,0.122845267334215,1146665.5833333333,0.5502715372635798,10670.833333333334,0.00959154018551576,0.5293
LD,p5,0.071525,0.13513130549782734,1146665.5833333333,0.5491989443884742,10670.833333333334,0.008518947310410113,0.5293
LD,p5,0.078677,0.14864349140374078,1146665.5833333333,0.5459759974113628,10670.833333333334,0.005296000333298727,0.5293
LD,p5,0.086545,0.16350840733043642,1146665.5833333333,0.5486702448888767,10670.833333333334,0.007990247810812692,0.5293
LD,p5,0.095199,0.17985830341961082,1146665.5833333333,0.5501224127673744,10670.833333333334,0.009442415689310183,0.5293
LD,p5,0.104719,0.19784432269034574,1146665.5833333333,0.5478009320121581,10670.833333333334,0.0071209349340938905,0.5293
LD,p5,0.115191,0.21762894388815418,1146665.5833333333,0.5524917966350534,10670.833333333334,0.011811799556989355,0.5293
LD,p5,0.12671,0.2393916493481957,1141947.4166666667,0.54538278810017,5952.666666666667,0.004702791022105977,0.5293
LD,p5,0.139381,0.2633308142830153,1146665.5833333333,0.5516859378137813,10670.833333333334,0.011005940735717238,0.5293
LD,p5,0.153319,0.289663706782543,1146665.5833333333,0.5521557395698086,10670.833333333334,0.01147574249174447,0.5293
LD,p5,0.168651,0.31863026638957115,1146665.5833333333,0.5507889161028783,10670.833333333334,0.010108919024814181,0.5293
LD,p5,0.185516,0.35049310409975437,1146665.5833333333,0.5516788323188164,10670.833333333334,0.010998835240752394,0.5293
LD,p5,0.204068,0.38554317022482526,1146665.5833333333,0.5487720430985442,10670.833333333334,0.0080920460204801,0.5293
LD,p5,0.224475,0.4240978651048555,1146665.5833333333,0.5486726769408099,10670.833333333334,0.00799267986274573,0.5293
LD,p5,0.246922,0.4665067069714718,1146665.5833333333,0.5498932249655765,10670.833333333334,0.009213227887512452,0.5293
LD,p5,0.271615,0.5131588890988098,1146665.5833333333,0.5502869908143082,10670.833333333334,0.009606993736244176,0.5293
LD,p5,0.298776,0.5644738333648215,1146665.5833333333,0.5488735177595498,10670.833333333334,0.008193520681485711,0.5293
LD,p5,0.328654,0.620921972416399,1146665.5833333333,0.5509280039788211,10670.833333333334,0.010248006900756992,0.5293
LD,p5,0.361519,0.6830134139429435,1146665.5833333333,0.5513323198321355,10670.833333333334,0.010652322754071361,0.5293
LD,p5,0.397671,0.7513149442660118,1146665.5833333333,0.5477596301236605,10670.833333333334,0.00707963304559639,0.5293
LD,p5,0.437438,0.8264462497638391,1146665.5833333333,0.5451609131068559,10670.833333333334,0.004480916028791776,0.5293
LD,p5,0.481182,0.9090912525977707,1146665.5833333333,0.5493149977229463,10670.833333333334,0.008635000644882254,0.5293
LD,p5,0.5293,1.0,1135994.75,0.5406799970780641,0.0,0.0,0.5293
LD,p5,0.58223,1.1,1141947.4166666667,0.5469451379054403,5952.666666666667,0.006265140827376105,0.5293
LD,p5,0.640453,1.2100000000000002,1146665.5833333333,0.5461194367281057,10670.833333333334,0.005439439650041557,0.5293
LD,p5,0.704498,1.3309994332136783,1146665.5833333333,0.5441511310131149,10670.833333333334,0.0034711339350507187,0.5293
LD,p5,0.774948,1.464099754392594,1146665.5833333333,0.5429450557881368,10670.833333333334,0.0022650587100727557,0.5293
LD,p5,0.852443,1.610510107689401,1146665.5833333333,0.5492099624966734,10670.833333333334,0.008529965418609295,0.5293
LD,p5,0.937687,1.7715605516720199,1146665.5833333333,0.5478579432707688,10670.833333333334,0.007177946192704676,0.5293
LD,p5,1.031456,1.948717173625543,1141974.0,0.5452395590775646,5979.25,0.0045595619995005,0.5293
LD,p5,1.134602,2.143589646703193,1136018.9166666667,0.540211421846235,24.166666666666668,-0.0004685752318290641,0.5293
LD,p5,1.248062,2.3579482335159647,1141974.0,0.5451150675740206,5979.25,0.0044350704959564835,0.5293
LD,p5,1.372868,2.5937426790100133,1141974.0,0.5449439785888216,5979.25,0.004263981510757482,0.5293
LD,p5,1.510155,2.853117324768562,1141970.75,0.5474837904001569,5976.0,0.006803793322092799,0.5293
LD,p5,1.66117,3.138428112601549,1141962.75,0.5457887446705268,5968.0,0.005108747592462613,0.5293
LD,p5,1.827287,3.4522709238617044,1141970.75,0.5464462164224124,5976.0,0.0057662193443483445,0.5293
LD,p5,2.010016,3.7974985830341956,1142096.5833333333,0.5468182915236836,6101.833333333333,0.006138294445619428,0.5293
LD,p5,2.211017,4.177247307764973,1142096.5833333333,0.5492424498632045,6101.833333333333,0.008562452785140376,0.5293
LD,p5,2.432119,4.594972605327792,1142096.5833333333,0.5467376753301951,6101.833333333333,0.006057678252131012,0.5293
LD,p5,2.675331,5.054470054789344,1142151.0833333333,0.5465494228324496,6156.333333333333,0.005869425754385436,0.5293
LD,p5,2.942864,5.559916871339506,1142199.5833333333,0.5509148369354356,6204.833333333333,0.010234839857371511,0.5293
LD,p5,3.237151,6.115909692046099,1142547.5833333333,0.5445004966664165,6552.833333333333,0.0038204995883524087,0.5293
LD,p5,3.560866,6.7275004723219345,1142096.5833333333,0.5447138319316921,6101.833333333333,0.004033834853627923,0.5293
LD,p5,3.916952,7.4002493859814855,1142770.5833333333,0.5461831347490947,6775.833333333333,0.005503137671030611,0.5293
LD,p5,4.308648,8.140275836009824,1141821.75,0.5451117854198962,5827.0,0.0044317883418321284,0.5293
LD,p5,4.739512,8.954301908180616,1142118.8333333333,0.5474077013780225,6124.083333333333,0.006727704299958402,0.5293
LD,p5,5.213464,9.849733610428869,1142877.0833333333,0.5448636646914774,6882.333333333333,0.004183667613413229,0.5293
LD,v1,0.490551,0.1015255184403328,1155577.4166666667,0.5965754136183923,20241.833333333332,0.05873380626386059,4.8318
LD,v1,0.539607,0.11167825655035389,1152730.5,0.5905726122335365,17394.916666666668,0.05273100487900484,4.8318
LD,v1,0.593567,0.1228459373318432,1150206.6666666667,0.5841076452323404,14871.083333333334,0.04626603787780858,4.8318
LD,v1,0.652924,0.1351305931536901,1147865.5,0.5762489530870735,12529.916666666666,0.03840734573254174,4.8318
LD,v1,0.718216,0.14864356968417566,1144611.4166666667,0.569794557544051,9275.833333333334,0.03195295018951918,4.8318
LD,v1,0.790038,0.1635080094374767,1141420.5833333333,0.563762189776127,6085.0,0.025920582421595274,4.8318
LD,v1,0.869042,0.17985885177366612,1138831.5,0.5540940526367449,3495.9166666666665,0.01625244528221324,4.8318
LD,v1,0.955946,0.197844695558591,1137143.6666666667,0.5455875986773286,1808.0833333333333,0.0077459913227969175,4.8318
LD,v1,1.05154,0.21762904093712485,1129694.5,0.5391262172344043,-5641.083333333333,0.0012846098798726207,4.8318
LD,v1,1.156694,0.23939194503083738,1127338.75,0.5306541131863752,-7996.833333333333,-0.007187494168156468,4.8318
LD,v1,1.272364,0.2633312637112463,1126284.25,0.5271295424291397,-9051.333333333334,-0.010712064925392098,4.8318
LD,v1,1.3996,0.28966430729748743,1122751.5833333333,0.5249788665169476,-12584.0,-0.012862740837584171,4.8318
LD,v1,1.53956,0.31863073802723624,1123036.75,0.5126712693242697,-12298.833333333334,-0.025170338030262068,4.8318
LD,v1,1.693516,0.3504938118299598,1122076.5,0.507247428950243,-13259.083333333334,-0.03059417840428878,4.8318
LD,v1,1.862868,0.38554327579783926,1121382.0833333333,0.5036542654638176,-13953.5,-0.03418734189071402,4.8318
LD,v1,2.049155,0.42409764477006495,1121959.4166666667,0.4970437272884587,-13376.166666666666,-0.04079788006607304,4.8318
LD,v1,2.25407,0.4665073057659671,1124003.9166666667,0.4933413656144099,-11331.666666666666,-0.0445002417401218,4.8318
LD,v1,2.479477,0.5131580363425639,1126052.0833333333,0.49450946703435655,-9283.5,-0.04333214032017516,4.8318
LD,v1,2.727425,0.5644739020654829,1127258.8333333333,0.4863410613340808,-8076.75,-0.05150054602045104,4.8318
LD,v1,3.000168,0.6209213957531354,1129110.25,0.48964446962219815,-6225.333333333333,-0.04819713773233359,4.8318
LD,v1,3.300184,0.683013369758682,1131336.5833333333,0.4999268449215817,-3999.0,-0.037914762432950104,4.8318
LD,v1,3.630203,0.7513148309118755,1130853.75,0.5124231695661193,-4481.833333333333,-0.025418437788412396,4.8318
LD,v1,3.993223,0.8264462519144004,1136058.1666666667,0.5222990112568643,722.5833333333334,-0.01554259609766743,4.8318
LD,v1,4.392545,0.9090908150171778,1136855.5833333333,0.5299325560947817,1520.0,-0.00790905125975011,4.8318
LD,v1,4.8318,1.0,1135335.5833333333,0.5378416073545318,0.0,0.0,4.8318
LD,v1,5.31498,1.1,1141151.5,0.543571686654735,5815.916666666667,0.005730079300203324,4.8318
LD,v1,5.846478,1.21,1142569.4166666667,0.5455884228702692,7233.833333333333,0.007746815515737471,4.8318
LD,v1,6.431126,1.3310000413924417,1143480.0833333333,0.5514065274803098,8144.5,0.013564920125778044,4.8318
LD,v1,7.074238,1.4640999213543606,1144701.5833333333,0.5515289820655259,9366.0,0.013687374710994182,4.8318
LD,v1,7.781662,1.6105099548822384,1146197.6666666667,0.5594077259261924,10862.083333333334,0.021566118571660724,4.8318
LD,v1,8.559828,1.7715609089780204,1147207.25,0.56581721256463,11871.666666666666,0.02797560521009824,4.8318
LD,v1,9.415811,1.9487170412682642,1146988.3333333333,0.5626490308734678,11652.75,0.024807423518936066,4.8318
LD,v1,10.357392,2.14358872469887,1146758.0,0.5599953168248074,11422.416666666666,0.02215370947027569,4.8318
LD,v1,11.393132,2.3579477627385237,1146641.0,0.5621330587263705,11305.416666666666,0.02429145137183884,4.8318
LD,v1,12.532445,2.5937424976199344,1146585.25,0.5639985077603714,11249.666666666666,0.026156900405839623,4.8318
LD,v1,13.785689,2.8531166439008233,1146005.5833333333,0.5602731548154881,10670.0,0.022431547460956453,4.8318
LD,v1,15.164258,3.1384283289871266,1145251.6666666667,0.5589298894504735,9916.083333333334,0.021088282095941796,4.8318
LD,v1,16.680684,3.452271203278281,1144773.3333333333,0.5566138584034086,9437.75,0.018772251048876882,4.8318
LD,v1,18.348752,3.797498240821226,1144032.25,0.5533310975415106,8696.666666666666,0.01548949018697876,4.8318
LD,v1,20.183628,4.177248230473115,1142960.5,0.5508221830409529,7624.916666666667,0.012980575686421211,4.8318
LD,v1,22.20199,4.59497288795066,1138127.6666666667,0.5487188255178888,2792.0833333333335,0.010877218163357035,4.8318
LD,v1,24.42219,5.054470383707935,1139844.25,0.5433314159366863,4508.666666666667,0.005489808582154633,4.8318
LD,v1,26.864408,5.55991721511652,1138480.5833333333,0.5398594925257433,3145.0,0.0020178851712116344,4.8318
LD,v1,29.550849,6.115908978020613,1137127.0833333333,0.5409035334254567,1791.5,0.0030619260709248883,4.8318
LD,v1,32.505934,6.727499896518896,1135782.75,0.5429748020902143,447.1666666666667,0.005133194735682578,4.8318
LD,v1,35.756528,7.400250010348111,1134688.25,0.5728170744053533,-647.3333333333334,0.0349754670508216,4.8318
LD,v1,39.33218,8.140274845813154,1133495.75,0.5693513177475261,-1839.8333333333333,0.031509710392994356,4.8318
LD,v1,43.265398,8.95430233039447,1125174.5,0.6482610233886706,-10161.083333333334,0.110419416034139,4.8318
LD,v1,47.591938,9.849732604826357,1125607.5833333333,0.6908825749762997,-9728.0,0.15304096762176794,4.8318
LD,Ck9,0.032864,0.10152610441767068,1151596.4166666667,0.5358800927922669,11349.5,-0.00025466336095820535,0.3237
LD,Ck9,0.03615,0.11167747914735868,1145909.5833333333,0.5298217426495135,5662.666666666667,-0.006313013503711625,0.3237
LD,Ck9,0.039765,0.12284522706209454,1151555.8333333333,0.5343759442099147,11308.916666666666,-0.0017588119433104195,0.3237
