condition,parameter,param_value,fold_change,mean_area,mean_eccentricity,mean_delta_area,mean_delta_eccentricity,base_param_value
LL,p5,0.053738,0.10152654449272625,1171152.0833333333,0.6197064441735197,10298.333333333334,0.000387192166401031,0.5293
LL,p5,0.059111,0.11167768751180804,1171152.0833333333,0.6204521768140537,10298.333333333334,0.0011329248069351188,0.5293
LL,p5,0.065022,0.122845267334215,1171152.0833333333,0.6201848899154422,10298.333333333334,0.000865637908323493,0.5293
LL,p5,0.071525,0.13513130549782734,1171152.0833333333,0.6197433839357206,10298.333333333334,0.0004241319286019211,0.5293
LL,p5,0.078677,0.14864349140374078,1171152.0833333333,0.6182120332741092,10298.333333333334,-0.0011072187330094425,0.5293
LL,p5,0.086545,0.16350840733043642,1171152.0833333333,0.6194746918686024,10298.333333333334,0.0001554398614837064,0.5293
LL,p5,0.095199,0.17985830341961082,1171152.0833333333,0.6201250111644528,10298.333333333334,0.0008057591573342274,0.5293
LL,p5,0.104719,0.19784432269034574,1171152.0833333333,0.6190391033957773,10298.333333333334,-0.00028014861134137425,0.5293
LL,p5,0.115191,0.21762894388815418,1171152.0833333333,0.6211535975229324,10298.333333333334,0.0018343455158138233,0.5293
LL,p5,0.12671,0.2393916493481957,1166887.25,0.6179139233828556,6033.5,-0.0014053286242631153,0.5293
LL,p5,0.139381,0.2633308142830153,1171152.0833333333,0.6208010261751947,10298.333333333334,0.001481774168076072,0.5293
LL,p5,0.153319,0.289663706782543,1171152.0833333333,0.6210068662370475,10298.333333333334,0.0016876142299288484,0.5293
LL,p5,0.168651,0.31863026638957115,1171152.0833333333,0.6203888286964675,10298.333333333334,0.0010695766893488445,0.5293
LL,p5,0.185516,0.35049310409975437,1171152.0833333333,0.6208115869427498,10298.333333333334,0.0014923349356312139,0.5293
LL,p5,0.204068,0.38554317022482526,1171152.0833333333,0.6194759533522047,10298.333333333334,0.0001567013450860799,0.5293
LL,p5,0.224475,0.4240978651048555,1171152.0833333333,0.6193948687337151,10298.333333333334,7.561672659638548e-05,0.5293
LL,p5,0.246922,0.4665067069714718,1171152.0833333333,0.620014316389539,10298.333333333334,0.0006950643824203314,0.5293
LL,p5,0.271615,0.5131588890988098,1171152.0833333333,0.620172851345531,10298.333333333334,0.0008535993384123641,0.5293
LL,p5,0.298776,0.5644738333648215,1171152.0833333333,0.6195327075402587,10298.333333333334,0.00021345553313995938,0.5293
LL,p5,0.328654,0.620921972416399,1171152.0833333333,0.6204453806479849,10298.333333333334,0.0011261286408662436,0.5293
LL,p5,0.361519,0.6830134139429435,1171152.0833333333,0.620670283988745,10298.333333333334,0.0013510319816264216,0.5293
LL,p5,0.397671,0.7513149442660118,1171152.0833333333,0.619041304549172,10298.333333333334,-0.0002779474579466164,0.5293
LL,p5,0.437438,0.8264462497638391,1171152.0833333333,0.6179302155010926,10298.333333333334,-0.0013890365060260368,0.5293
LL,p5,0.481182,0.9090912525977707,1171152.0833333333,0.6197423193667453,10298.333333333334,0.0004230673596266517,0.5293
LL,p5,0.5293,1.0,1160853.75,0.6193192520071187,0.0,0.0,0.5293
LL,p5,0.58223,1.1,1166887.25,0.6185445541120506,6033.5,-0.0007746978950680569,0.5293
LL,p5,0.640453,1.2100000000000002,1171152.0833333333,0.6183603104728415,10298.333333333334,-0.0009589415342771967,0.5293
LL,p5,0.704498,1.3309994332136783,1171152.0833333333,0.6174089834038333,10298.333333333334,-0.001910268603285405,0.5293
LL,p5,0.774948,1.464099754392594,1171152.0833333333,0.6168296286390392,10298.333333333334,-0.0024896233680793876,0.5293
LL,p5,0.852443,1.610510107689401,1171152.0833333333,0.6197061701708754,10298.333333333334,0.0003869181637566425,0.5293
LL,p5,0.937687,1.7715605516720199,1171152.0833333333,0.6190878122933584,10298.333333333334,-0.0002314397137602083,0.5293
LL,p5,1.031456,1.948717173625543,1166884.75,0.6178670710663761,6031.0,-0.0014521809407425923,0.5293
LL,p5,1.134602,2.143589646703193,1160848.8333333333,0.6190693767549799,-4.916666666666667,-0.00024987525213874634,0.5293
LL,p5,1.248062,2.3579482335159647,1166884.75,0.6177657867481972,6031.0,-0.0015534652589215547,0.5293
LL,p5,1.372868,2.5937426790100133,1166884.75,0.6176995103196644,6031.0,-0.0016197416874542032,0.5293
LL,p5,1.510155,2.853117324768562,1166884.75,0.6187654206782048,6031.0,-0.000553831328913762,0.5293
LL,p5,1.66117,3.138428112601549,1166884.75,0.6180286474091717,6031.0,-0.0012906045979468965,0.5293
LL,p5,1.827287,3.4522709238617044,1166884.75,0.6183613890242675,6031.0,-0.0009578629828511931,0.5293
LL,p5,2.010016,3.7974985830341956,1167032.25,0.6184995921455466,6178.5,-0.0008196598615721103,0.5293
LL,p5,2.211017,4.177247307764973,1167032.25,0.6195434622884836,6178.5,0.00022421028136479504,0.5293
LL,p5,2.432119,4.594972605327792,1167032.25,0.6184287601357302,6178.5,-0.0008904918713884454,0.5293
LL,p5,2.675331,5.054470054789344,1167032.25,0.6178510335786332,6178.5,-0.0014682184284853887,0.5293
LL,p5,2.942864,5.559916871339506,1167032.25,0.6178687088931926,6178.5,-0.0014505431139260339,0.5293
LL,p5,3.237151,6.115909692046099,1167006.5833333333,0.618328855006184,6152.833333333333,-0.0009903970009347192,0.5293
LL,p5,3.560866,6.7275004723219345,1167006.5833333333,0.6175916140359364,6152.833333333333,-0.001727637971182296,0.5293
LL,p5,3.916952,7.4002493859814855,1167006.5833333333,0.6181953693894017,6152.833333333333,-0.001123882617716963,0.5293
LL,p5,4.308648,8.140275836009824,1166201.0833333333,0.6166704212687013,5347.333333333333,-0.0026488307384173646,0.5293
LL,p5,4.739512,8.954301908180616,1166201.0833333333,0.6160599491610327,5347.333333333333,-0.003259302846086045,0.5293
LL,p5,5.213464,9.849733610428869,1167006.5833333333,0.6183952923289018,6152.833333333333,-0.000923959678216929,0.5293
LL,v1,0.490551,0.1015255184403328,946804.3333333334,0.8352776381072813,-213204.08333333334,0.21733051050729676,4.8318
LL,v1,0.539607,0.11167825655035389,1044961.4166666666,0.8309221059953847,-115047.0,0.21297497839540028,4.8318
LL,v1,0.593567,0.1228459373318432,1045039.4166666666,0.8311703865113448,-114969.0,0.21322325891136018,4.8318
LL,v1,0.652924,0.1351305931536901,1045005.5833333334,0.8314792186014367,-115002.83333333333,0.2135320910014522,4.8318
LL,v1,0.718216,0.14864356968417566,1044957.6666666666,0.8322486189702758,-115050.75,0.21430149137029142,4.8318
LL,v1,0.790038,0.1635080094374767,1045069.5,0.8310572495847017,-114938.91666666667,0.21311012198471727,4.8318
LL,v1,0.869042,0.17985885177366612,1045095.8333333334,0.8276619109265768,-114912.58333333333,0.2097147833265924,4.8318
LL,v1,0.955946,0.197844695558591,1045483.4166666666,0.8146840118194628,-114525.0,0.19673688421947824,4.8318
LL,v1,1.05154,0.21762904093712485,1045915.3333333334,0.7691784001917196,-114093.08333333333,0.15123127259173502,4.8318
LL,v1,1.156694,0.23939194503083738,1057945.5833333333,0.7170661770824941,-102062.83333333333,0.09911904948250971,4.8318
LL,v1,1.272364,0.2633312637112463,1114013.0833333333,0.7606318220881447,-45995.333333333336,0.1426846944881601,4.8318
LL,v1,1.3996,0.28966430729748743,1121510.5,0.6966556129554705,-38497.916666666664,0.07870848535548589,4.8318
LL,v1,1.53956,0.31863073802723624,1132744.0833333333,0.6192513641262284,-27264.333333333332,0.0013042365262438311,4.8318
LL,v1,1.693516,0.3504938118299598,1141074.75,0.5833321031485511,-18933.666666666668,-0.034615024451433433,4.8318
LL,v1,1.862868,0.38554327579783926,1147552.5,0.5783688270376995,-12455.916666666666,-0.039578300562284896,4.8318
LL,v1,2.049155,0.42409764477006495,1152169.25,0.5791006944948164,-7839.166666666667,-0.038846433105168166,4.8318
LL,v1,2.25407,0.4665073057659671,1155573.0833333333,0.5849297634243154,-4435.333333333333,-0.03301736417566911,4.8318
LL,v1,2.479477,0.5131580363425639,1158265.3333333333,0.5798914309154913,-1743.0833333333333,-0.03805569668449316,4.8318
LL,v1,2.727425,0.5644739020654829,1160275.9166666667,0.5836439840354898,267.5,-0.034303143564494626,4.8318
LL,v1,3.000168,0.6209213957531354,1161941.8333333333,0.5821015754534974,1933.4166666666667,-0.03584555214648722,4.8318
LL,v1,3.300184,0.683013369758682,1163065.6666666667,0.5670968021459538,3057.25,-0.0508503254540306,4.8318
LL,v1,3.630203,0.7513148309118755,1158590.0833333333,0.5882901654674686,-1418.3333333333333,-0.029656962132515934,4.8318
LL,v1,3.993223,0.8264462519144004,1165443.0,0.6024741016661096,5434.583333333333,-0.015473025933874987,4.8318
LL,v1,4.392545,0.9090908150171778,1165456.9166666667,0.6121032672710287,5448.5,-0.005843860328955823,4.8318
LL,v1,4.8318,1.0,1160008.4166666667,0.6179471275999845,0.0,0.0,4.8318
LL,v1,5.31498,1.1,1167818.9166666667,0.6280667494297637,7810.5,0.010119621829779185,4.8318
LL,v1,5.846478,1.21,1168260.9166666667,0.6361763495640071,8252.5,0.018229221964022612,4.8318
LL,v1,6.431126,1.3310000413924417,1168722.8333333333,0.6435640374697965,8714.416666666666,0.02561690986981205,4.8318
LL,v1,7.074238,1.4640999213543606,1169032.4166666667,0.6461512150959817,9024.0,0.028204087495997093,4.8318
LL,v1,7.781662,1.6105099548822384,1169686.1666666667,0.6524868654039437,9677.75,0.03453973780395917,4.8318
LL,v1,8.559828,1.7715609089780204,1170400.6666666667,0.6594960927764754,10392.25,0.04154896517649087,4.8318
LL,v1,9.415811,1.9487170412682642,1170544.3333333333,0.6580768906498462,10535.916666666666,0.04012976304986161,4.8318
LL,v1,10.357392,2.14358872469887,1171114.25,0.6670470348740976,11105.833333333334,0.049099907274113015,4.8318
LL,v1,11.393132,2.3579477627385237,1171334.25,0.6720604803060651,11325.833333333334,0.05411335270608058,4.8318
LL,v1,12.532445,2.5937424976199344,1171209.0833333333,0.6738326236588361,11200.666666666666,0.05588549605885163,4.8318
LL,v1,13.785689,2.8531166439008233,1170757.0,0.6701270733589774,10748.583333333334,0.05217994575899277,4.8318
LL,v1,15.164258,3.1384283289871266,1170846.0833333333,0.6748226592368626,10837.666666666666,0.05687553163687811,4.8318
LL,v1,16.680684,3.452271203278281,1170672.6666666667,0.674553548750619,10664.25,0.056606421150634495,4.8318
LL,v1,18.348752,3.797498240821226,1170509.75,0.6734017874595829,10501.333333333334,0.055454659859598306,4.8318
LL,v1,20.183628,4.177248230473115,1170474.5833333333,0.6751062901174129,10466.166666666666,0.05715916251742847,4.8318
LL,v1,22.20199,4.59497288795066,1163570.0,0.6775389625324951,3561.5833333333335,0.05959183493251072,4.8318
LL,v1,24.42219,5.054470383707935,1168565.5833333333,0.6770117541036186,8557.166666666666,0.059064626503634005,4.8318
LL,v1,26.864408,5.55991721511652,1168375.6666666667,0.6755863092572726,8367.25,0.057639181657288034,4.8318
LL,v1,29.550849,6.115908978020613,1168298.75,0.6807179827600711,8290.333333333334,0.0627708551600867,4.8318
LL,v1,32.505934,6.727499896518896,1168174.9166666667,0.6816971483426988,8166.5,0.06375002074271428,4.8318
LL,v1,35.756528,7.400250010348111,1167881.0,0.6810509850647013,7872.583333333333,0.06310385746471674,4.8318
LL,v1,39.33218,8.140274845813154,1167496.75,0.6820227254164378,7488.333333333333,0.06407559781645324,4.8318
LL,v1,43.265398,8.95430233039447,1166171.0,0.6807815686153065,6162.583333333333,0.0628344410153219,4.8318
LL,v1,47.591938,9.849732604826357,1165704.8333333333,0.678933554321573,5696.416666666667,0.06098642672158849,4.8318
LL,Ck9,0.032864,0.10152610441767068,1168522.1666666667,0.5923382634906204,3203.0,-0.02685373635535852,0.3237
LL,Ck9,0.03615,0.11167747914735868,1164313.0,0.5887009327291416,-1006.1666666666666,-0.0304910671168374,0.3237
LL,Ck9,0.039765,0.12284522706209454,1168577.0,0.5924809451246652,3257.8333333333335,-0.026711054721313843,0.3237
LL,Ck9,0.043742,0.13513129440840285,1168683.4166666667,0.590723175886733,3364.25,-0.028468823959245965,0.3237
LL,Ck9,0.048116,0.1486438059932036,1168855.6666666667,0.5903370704554218,3536.5,-0.028854929390557154,0.3237
LL,Ck9,0.052928,0.16350942230460305,1168972.3333333333,0.5897261334084655,3653.1666666666665,-0.029465866437513494,0.3237
LL,Ck9,0.05822,0.17985789311090516,1164562.8333333333,0.5820261886396,-756.3333333333334,-0.03716581120637893,0.3237
LL,Ck9,0.064042,0.19784368242199568,1168899.0,0.5763693191255412,3579.8333333333335,-0.04282268072043774,0.3237
LL,Ck9,0.070447,0.2176305220883534,1169559.9166666667,0.5831627082491714,4240.75,-0.036029291596807594,0.3237
LL,Ck9,0.077491,0.2393914118010504,1169389.25,0.5914328578329989,4070.0833333333335,-0.027759142012980093,0.3237
LL,Ck9,0.08524,0.2633302440531356,1165378.75,0.5921597437934045,59.583333333333336,-0.027032256052574394,0.3237
LL,Ck9,0.093764,0.2896632684584492,1169698.75,0.5958892733407256,4379.583333333333,-0.02330272650525324,0.3237
LL,Ck9,0.103141,0.31863144887241274,1169983.1666666667,0.597476039905309,4664.0,-0.02171595994067003,0.3237
LL,Ck9,0.113455,0.35049428483163425,1170238.5833333333,0.5976927254290048,4919.416666666667,-0.021499274416974228,0.3237
LL,Ck9,0.1248,0.3855421686746988,1161733.6666666667,0.5863588910267271,-3585.5,-0.03283310881925177,0.3237
LL,Ck9,0.13728,0.4240963855421687,1166430.3333333333,0.5963059034749764,1111.1666666666667,-0.022886096371002484,0.3237
LL,Ck9,0.151008,0.4665060240963856,1171010.6666666667,0.6017740431150128,5691.5,-0.017417956730966123,0.3237
LL,Ck9,0.166109,0.5131572443620637,1171232.6666666667,0.6036658205569858,5913.5,-0.015526179288993228,0.3237
LL,Ck9,0.18272,0.5644732777262897,1167324.8333333333,0.5988615467921637,2005.6666666666667,-0.020330453053815267,0.3237
LL,Ck9,0.200992,0.6209206054989188,1171941.5833333333,0.6072965562351871,6622.416666666667,-0.011895443610791775,0.3237
LL,Ck9,0.221091,0.6830120481927712,1172342.25,0.6089858937244907,7023.083333333333,-0.010206106121488248,0.3237
LL,Ck9,0.243201,0.7513160333642261,1172758.8333333333,0.6103995978507981,7439.666666666667,-0.008792401995180851,0.3237
LL,Ck9,0.267521,0.8264473277726291,1173262.75,0.6150193307895345,7943.583333333333,-0.0041726690564444875,0.3237
LL,Ck9,0.294273,0.9090917516218722,1173606.3333333333,0.6160480192592627,8287.166666666666,-0.0031439805867162127,0.3237
LL,Ck9,0.3237,1.0,1165319.1666666667,0.6191919998459788,0.0,0.0,0.3237
LL,Ck9,0.35607,1.1,1170504.4166666667,0.6239260393730295,5185.25,0.004734039527050519,0.3237
LL,Ck9,0.391677,1.21,1175443.6666666667,0.6318684723117963,10124.5,0.012676472465817434,0.3237
LL,Ck9,0.430845,1.3310009267840592,1176260.25,0.6316129125607993,10941.083333333334,0.012420912714820384,0.3237
LL,Ck9,0.473929,1.4640994748223664,1176881.4166666667,0.6477703004882978,11562.25,0.028578300642318838,0.3237
LL,Ck9,0.521322,1.6105097312326226,1177531.5,0.6604010930261605,12212.333333333334,0.041209093180181434,0.3237
LL,Ck9,0.573454,1.7715600864998458,1177529.8333333333,0.6644143496906819,12210.666666666666,0.04522234984470299,0.3237
LL,Ck9,0.6308,1.948717948717949,1166630.75,0.669792980628329,1311.5833333333333,0.05060098078235,0.3237
LL,Ck9,0.69388,2.143589743589744,1170811.75,0.6745214255474958,5492.583333333333,0.05532942570151683,0.3237
LL,Ck9,0.763268,2.3579487179487177,1171721.0833333333,0.6797370769220256,6401.916666666667,0.060545077076046595,0.3237
LL,Ck9,0.839594,2.5937411183194317,1169645.3333333333,0.6797880501992047,4326.166666666667,0.060596050353225774,0.3237
LL,Ck9,0.923554,2.8531170837194932,1170698.3333333333,0.674533400715204,5379.166666666667,0.05534140086922501,0.3237
LL,Ck9,1.015909,3.1384275563793635,1170593.5833333333,0.6554195380539677,5274.416666666667,0.036227538207988734,0.3237
LL,Ck9,1.1175,3.4522706209453196,1168364.9166666667,0.6594309211436319,3045.75,0.040238921297652906,0.3237
LL,Ck9,1.22925,3.7974976830398517,1168584.1666666667,0.698311164184969,3265.0,0.07911916433898998,0.3237
LL,Ck9,1.352175,4.1772474513438365,1155160.4166666667,0.6839009797863379,-10158.75,0.06470897994035903,0.3237
LL,Ck9,1.487393,4.594973741118319,1130267.25,0.7285458289030157,-35051.916666666664,0.10935382905703683,0.3237
LL,Ck9,1.636132,5.054470188446092,1102923.8333333333,0.7345245553355438,-62395.333333333336,0.11533255548956496,0.3237
LL,Ck9,1.799745,5.559916589434661,1063700.9166666667,0.7489212035173239,-101618.25,0.12972920367134502,0.3237
LL,Ck9,1.97972,6.1159097930182265,1051330.5,0.749656423404339,-113988.66666666667,0.13046442355836002,0.3237
LL,Ck9,2.177692,6.72750077232005,1049401.5,0.7819254736939346,-115917.66666666667,0.16273347384795583,0.3237
LL,Ck9,2.395461,7.400250231696015,1047088.5833333334,0.8119935327233178,-118230.58333333333,0.1928015328773388,0.3237
LL,Ck9,2.635007,8.140274945937596,1046265.6666666666,0.8256111345455485,-119053.5,0.20641913469956966,0.3237
LL,Ck9,2.898508,8.954303367315417,1046101.9166666666,0.8280300161256697,-119217.25,0.20883801627969079,0.3237
LL,Ck9,3.188358,9.8497312326228,1045757.0,0.8305887430968291,-119562.16666666667,0.21139674325085012,0.3237
LL,K11,0.033727,0.10152618904274534,1174556.0833333333,0.6222211188293364,9851.833333333334,0.002737575230509437,0.3322
LL,K11,0.037099,0.11167670078266105,1174556.0833333333,0.6217741749932664,9851.833333333334,0.002290631394439339,0.3322
LL,K11,0.040809,0.12284467188440698,1174556.0833333333,0.6213336800172234,9851.833333333334,0.0018501364183964308,0.3322
LL,K11,0.04489,0.13512944009632752,1169916.5833333333,0.6181070925650407,5212.333333333333,-0.0013764510337862708,0.3322
LL,K11,0.049379,0.14864238410596026,1174556.0833333333,0.6212854279001545,9851.833333333334,0.0018018843013275314,0.3322
LL,K11,0.054317,0.16350692354003613,1174556.0833333333,0.6219323770088336,9851.833333333334,0.0024488334100066602,0.3322
LL,K11,0.059749,0.1798585189644792,1174556.0833333333,0.6216446200594485,9851.833333333334,0.002161076460621488,0.3322
LL,K11,0.065724,0.197844671884407,1174556.0833333333,0.6218822610055352,9851.833333333334,0.0023987174067081805,0.3322
LL,K11,0.072296,0.21762793497892835,1174556.0833333333,0.622206396378791,9851.833333333334,0.002722852779964128,0.3322
LL,K11,0.079526,0.2393919325707405,1174556.0833333333,0.6217991134178077,9851.833333333334,0.002315569818980734,0.3322
LL,K11,0.087479,0.2633323299217339,1174556.0833333333,0.6208957857011996,9851.833333333334,0.0014122421023726368,0.3322
