Parameter,Value,Label,Period_LHYm,Period_P97m,Period_P51m,Period_ELm
K2,1.6138,baseline,24,24,24,24
K2,0.000000001,knockout,0,24,0,24
K1,0.1943,baseline,24,24,24,24
K1,0.000000001,knockout,0,24,0,24
q1a,1.4266,baseline,24,24,24,24
q1a,0.000000001,knockout,24,24,24,24
q4a,5.9277,baseline,24,24,24,24
q4a,0.000000001,knockout,24,24,24,24
k1L,0.2866,baseline,24,24,24,24
k1L,0.000000001,knockout,24,12.4736842105263,24,24
k1D,0.213,baseline,24,24,24,24
k1D,0.000000001,knockout,24,24,24,24
v1,4.8318,baseline,24,24,24,24
v1,0.000000001,knockout,24,24,0,24
q3a,8.9432,baseline,24,24,24,24
q3a,0.000000001,knockout,24,24,24,24
p1L,0.2378,baseline,24,24,24,24
p1L,0.000000001,knockout,24,24,24,24
q3b,5.5899,baseline,24,24,24,24
q3b,0.000000001,knockout,24,24,24,24
d1,0.7843,baseline,24,24,24,24
d1,0.000000001,knockout,24,24,0,24.1111111111111
K3,2.2275,baseline,24,24,24,24
K3,0.000000001,knockout,24,0,24,24
v2,1.6822,baseline,24,24,24,24
v2,0.000000001,knockout,24,24,24,24
q4b,8.954,baseline,24,24,24,24
q4b,0.000000001,knockout,24,24,24,24
p1,0.8672,baseline,24,24,24,24
p1,0.000000001,knockout,24,24,11.7368421052632,24
q1b,3.575,baseline,24,24,24,24
q1b,0.000000001,knockout,24,24,24,24
K5,0.37,baseline,24,24,24,24
K5,0.000000001,knockout,24,24,24,24
k2,0.35,baseline,24,24,24,24
k2,0.000000001,knockout,24,0,0,24
K4,0.4,baseline,24,24,24,24
K4,0.000000001,knockout,24,24,24,24
p2,0.7858,baseline,24,24,24,24
p2,0.000000001,knockout,24,12.2105263157895,24,24
d2D,0.3712,baseline,24,24,24,24
d2D,0.000000001,knockout,23.8888888888889,16.8571428571429,23.7777777777778,24
d2L,0.2917,baseline,24,24,24,24
d2L,0.000000001,knockout,24,24,24,24
v3,1.113,baseline,24,24,24,24
v3,0.000000001,knockout,24,24,24,24
