Parameter,Value,Label,Period_LHYm,Period_P97m,Period_P51m,Period_ELm
K1,0.1943,baseline,27.7142857142857,27.75,27.75,27.75
K1,0.000000001,knockout,nan,nan,nan,nan
v1,4.8318,baseline,27.7142857142857,27.75,27.75,27.75
v1,0.000000001,knockout,nan,nan,nan,nan
k1L,0.2866,baseline,27.7142857142857,27.75,27.75,27.75
k1L,0.000000001,knockout,nan,nan,nan,nan
K2,1.6138,baseline,27.7142857142857,27.75,27.75,27.75
K2,0.000000001,knockout,nan,nan,nan,nan
q3a,8.9432,baseline,27.7142857142857,27.75,27.75,27.75
q3a,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
q4a,5.9277,baseline,27.7142857142857,27.75,27.75,27.75
q4a,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
k1D,0.213,baseline,27.7142857142857,27.75,27.75,27.75
k1D,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
q1a,1.4266,baseline,27.7142857142857,27.75,27.75,27.75
q1a,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
d1,0.7843,baseline,27.7142857142857,27.75,27.75,27.75
d1,0.000000001,knockout,nan,nan,nan,nan
p1,0.8672,baseline,27.7142857142857,27.75,27.75,27.75
p1,0.000000001,knockout,nan,nan,nan,nan
v2,1.6822,baseline,27.7142857142857,27.75,27.75,27.75
v2,0.000000001,knockout,nan,nan,nan,nan
q3b,5.5899,baseline,27.7142857142857,27.75,27.75,27.75
q3b,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
q1b,3.575,baseline,27.7142857142857,27.75,27.75,27.75
q1b,0.000000001,knockout,27.8571428571429,27.75,27.75,27.75
p1L,0.2378,baseline,27.7142857142857,27.75,27.75,27.75
p1L,0.000000001,knockout,27.2857142857143,27.25,27.25,27.25
K3,2.2275,baseline,27.7142857142857,27.75,27.75,27.75
K3,0.000000001,knockout,nan,nan,nan,nan
q4b,8.954,baseline,27.7142857142857,27.75,27.75,27.75
q4b,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
K4,0.4,baseline,27.7142857142857,27.75,27.75,27.75
K4,0.000000001,knockout,nan,nan,nan,nan
K5,0.37,baseline,27.7142857142857,27.75,27.75,27.75
K5,0.000000001,knockout,nan,nan,nan,nan
p2,0.7858,baseline,27.7142857142857,27.75,27.75,27.75
p2,0.000000001,knockout,nan,nan,nan,nan
k2,0.35,baseline,27.7142857142857,27.75,27.75,27.75
k2,0.000000001,knockout,nan,nan,nan,nan
d2D,0.3712,baseline,27.7142857142857,27.75,27.75,27.75
d2D,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
d2L,0.2917,baseline,27.7142857142857,27.75,27.75,27.75
d2L,0.000000001,knockout,nan,nan,nan,nan
K6,0.4944,baseline,27.7142857142857,27.75,27.75,27.75
K6,0.000000001,knockout,27,27,nan,27
v3,1.113,baseline,27.7142857142857,27.75,27.75,27.75
v3,0.000000001,knockout,27,27,27.125,27
k3,0.5819,baseline,27.7142857142857,27.75,27.75,27.75
k3,0.000000001,knockout,nan,nan,nan,nan
K7,2.4087,baseline,27.7142857142857,27.75,27.75,27.75
K7,0.000000001,knockout,27,27,nan,27
p3,0.6142,baseline,27.7142857142857,27.75,27.75,27.75
p3,0.000000001,knockout,27.125,27,27.125,27.125
d3L,0.5431,baseline,27.7142857142857,27.75,27.75,27.75
d3L,0.000000001,knockout,nan,nan,nan,nan
d3D,0.5026,baseline,27.7142857142857,27.75,27.75,27.75
d3D,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
v4,2.5012,baseline,27.7142857142857,27.75,27.75,27.75
v4,0.000000001,knockout,nan,nan,nan,nan
K9,1.7974,baseline,27.7142857142857,27.75,27.75,27.75
K9,0.000000001,knockout,nan,nan,nan,nan
K8,0.3262,baseline,27.7142857142857,27.75,27.75,27.75
K8,0.000000001,knockout,nan,nan,nan,nan
k4,0.925,baseline,27.7142857142857,27.75,27.75,27.75
k4,0.000000001,knockout,nan,nan,nan,nan
K10,1.1889,baseline,27.7142857142857,27.75,27.75,27.75
K10,0.000000001,knockout,nan,nan,nan,nan
p4,1.126,baseline,27.7142857142857,27.75,27.75,27.75
p4,0.000000001,knockout,nan,nan,nan,nan
de2,0.4741,baseline,27.7142857142857,27.75,27.75,27.75
de2,0.000000001,knockout,41.2,41.2,41.2,41
de1,0.0022,baseline,27.7142857142857,27.75,27.75,27.75
de1,0.000000001,knockout,27.8571428571429,27.875,27.75,27.75
de3,0.3765,baseline,27.7142857142857,27.75,27.75,27.75
de3,0.000000001,knockout,27.8571428571429,27.75,27.75,27.75
de4,0.398,baseline,27.7142857142857,27.75,27.75,27.75
de4,0.000000001,knockout,29.7142857142857,29.7142857142857,29.6666666666667,29.7142857142857
de5,0.0003,baseline,27.7142857142857,27.75,27.75,27.75
de5,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
Ap3,0.3868,baseline,27.7142857142857,27.75,27.75,27.75
Ap3,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
Ak7,1.125,baseline,27.7142857142857,27.75,27.75,27.75
Ak7,0.000000001,knockout,25.875,25.875,25.875,25.875
Am7,0.5503,baseline,27.7142857142857,27.75,27.75,27.75
Am7,0.000000001,knockout,27.8571428571429,27.75,27.75,27.75
q2,0.5767,baseline,27.7142857142857,27.75,27.75,27.75
